default_store_number,location_number,building_name,optima_name,gross_internal_area_square_feet,_retail_area_square_feet
429,6042999,Fleet Elvethom Heath - Generic,Fleet,39740,17554
435,6043599,Verwood Verwood Centre - Generic,Verwood Centre,29972,16919
436,6043699,Wokingham Woosehill - Generic,Wokingham Woosehill,33009,16973
438,6043899,Erskine - Generic,ERSKINE BRIDGEWATER 2,49327,24831
439,6043999,Gorelston - Generic,GREAT YARMOUTH GORLESTON,39924,17285
441,6044199,Dover Bridge Street - Generic,DOVER Bridge Street,51425,25235
442,6044299,Willenhall West Midlands - Generic,WILLENHALL,78671,36682
447,6044799,Welling - Generic,WELLING,67673,31366
448,6044899,Nottingham Clifton - Generic,NOTTINGHAM CLIFTON,33618,17213
449,6044999,Yiewsley Generic,YIEWSLEY West Drayton,36124,14149
452,6045299,Gibraltar Westside Rd - Generic,Gibraltar Westside,67618,30028
472,6047299,Mansfield New Store Generic,MANSFIELD WOODHOUSE,43608,19792
474,6047499,Chester Le Street Generic,Chester-Le-Street,28268,16377
475,6047599,Halifax Illingworth Generic,HALIFAX ILLINGWORTH (NEW),54718,25988
478,6047899,Birtley,CEBNS Birtley New,,
479,6047999,Brentford Generic,Brentford,31937,16339
480,6048099,Brighton Generic,Brighton St James,30128,13702
481,6048199,Burnham on Sea Generic,Burnham on Sea,29710,14560
483,6048399,Camberwell Green Generic,London Camberwell,23380,12439
484,6048499,Cheadle Generic,Cheadle Well Street,28216,14926
485,6048599,Chelmsford Generic,Chelmsford,40339,18425
486,6048699,Corringham Generic,Corringham,22218,11851
487,6048799,Cowdenbeath Generic,Cowdenbeath,22263,11084
488,6048899,Crawley Generic,Crawley,34593,10089
490,6049099,Crediton Generic,Crediton,28706,12174
491,6049199,Downham Market Generic,Downham Market,27417,12435
492,6049299,Dunoon Generic,Dunoon,22389,11143
496,6049699,Exeter Generic,Exeter,33748,14736
497,6049799,Frodsham Generic,Frodsham,29773,13646
498,6049899,Hounslow Generic,Hounslow,36425,19360
499,6049999,Kingsbridge Generic,Kingsbridge,26775,12297
500,6050099,Lanark Generic,Lanark,23576,11670
520,6052099,Faversham Generic,Faversham,26815,12462
527,6052799,Mitcham Generic,London Mitcham,31483,15570
538,6053899,Nailsworth Generic,Nailsworth,21557,10805
540,6054099,Oswestry Generic,Oswestry,28049,13303
568,6056899,Northallerton High Street - Generic,Northallerton,21841,11548
574,6057499,Poynton Generic,Poynton,11224,7181
583,6058399,Brough Welton Rd - Generic,Brough Welton Road,22003,14387
598,6059899,Welshpool Berriew St - Generic,Welshpool Berriew Street,28149,13202
605,6060599,Ramsbottom Generic,Ramsbottom Bury,25901,13380
607,6060799,Royston Generic,Royston,24834,11060
608,6060899,Shefford Generic,Shefford,26544,12927
633,6063399,Southwark Generic,London Southwark,28568,13401
635,6063599,Guisborough Westgate - Generic,Guisborough West Gate,28579,15570
638,6063899,Tyldesley Generic,Tyldesley,27195,13714
641,6064199,Worthing Generic,Worthing,54220,27728
642,6064299,Larkfield Generic,Larkfield Aylesford,26222,12035
643,6064399,Margate Generic,Margate,39708,17455
647,6064799,Banchory Generic,Banchory,30153,13174
650,6065099,Louth Generic,Louth,31468,12379
651,6065199,Maghull Generic,Maghull,22604,11911
